,0
2005-05-16,109286.50499999999
2005-05-17,109076.95999999999
2005-05-18,109167.63500000001
2005-05-19,109137.885
2005-05-20,108039.495
2005-05-21,98477.29
2005-05-22,90758.035
2005-05-23,94336.46
2005-05-24,108808.61499999999
2005-05-25,106672.76499999998
2005-05-26,107470.71500000001
2005-05-27,107125.41500000001
2005-05-28,99774.685
2005-05-29,92356.31
2005-05-30,106086.48000000001
2005-05-31,109277.07999999999
2005-06-01,108588.415
2005-06-02,110472.5
2005-06-03,111219.39000000001
2005-06-04,102528.35
2005-06-05,94342.125
2005-06-06,109491.985
2005-06-07,110421.32
2005-06-08,108676.92499999999
2005-06-09,110545.725
2005-06-10,111035.80500000001
2005-06-11,102427.905
2005-06-12,94575.39499999999
2005-06-13,108770.29999999999
2005-06-14,109836.79500000001
2005-06-15,107201.985
2005-06-16,109326.45000000001
2005-06-17,109599.855
2005-06-18,100594.825
2005-06-19,95403.73999999999
2005-06-20,109672.98000000001
2005-06-21,109124.97
2005-06-22,108289.8
2005-06-23,110573.215
2005-06-24,110218.115
2005-06-25,101377.09000000001
2005-06-26,93880.98999999999
2005-06-27,108999.71500000001
2005-06-28,110975.26999999999
2005-06-29,109803.715
2005-06-30,108409.98999999999
2005-07-01,109371.95499999999
2005-07-02,101843.95
2005-07-03,95625.42499999999
2005-07-04,108368.98000000001
2005-07-05,110436.92499999999
2005-07-06,110953.11
2005-07-07,111173.91
2005-07-08,110256.36499999999
2005-07-09,101367.65
2005-07-10,94841.65
2005-07-11,107687.675
2005-07-12,107873.215
2005-07-13,108171.125
2005-07-14,108537.065
2005-07-15,107621.9
2005-07-16,96656.56999999999
2005-07-17,91929.88
2005-07-18,105683.465
2005-07-19,105885.565
2005-07-20,106344.4
2005-07-21,107061.315
2005-07-22,109118.97499999999
2005-07-23,100133.01
2005-07-24,93000.12000000001
2005-07-25,107583.335
2005-07-26,105928.815
2005-07-27,106658.255
2005-07-28,109172.695
2005-07-29,110172.565
2005-07-30,99687.125
2005-07-31,93478.9
2005-08-01,110064.05
2005-08-02,110044.715
2005-08-03,109131.725
2005-08-04,106428.755
2005-08-05,108644.28
2005-08-06,101441.92
2005-08-07,96064.48000000001
2005-08-08,108504.79000000001
2005-08-09,95753.74
2005-08-10,110942.485
2005-08-11,111831.555
2005-08-12,109531.88
2005-08-13,102252.12
2005-08-14,96311.205
2005-08-15,110700.87
2005-08-16,111803.57
2005-08-17,111360.475
2005-08-18,106965.105
2005-08-19,107556.73000000001
2005-08-20,99163.995
2005-08-21,91223.105
2005-08-22,106353.795
2005-08-23,106095.79500000001
2005-08-24,106102.33
2005-08-25,107462.94
2005-08-26,108293.90000000001
2005-08-27,99353.8
2005-08-28,94332.57500000001
2005-08-29,110651.78
2005-08-30,109746.80000000002
2005-08-31,110562.445
2005-09-01,109415.445
2005-09-02,108945.095
2005-09-03,99631.91999999998
2005-09-04,92725.765
2005-09-05,107512.34
2005-09-06,111336.95999999999
2005-09-07,111215.095
2005-09-08,108964.54500000001
2005-09-09,111590.465
2005-09-10,102765.13
2005-09-11,96761.85
2005-09-12,110134.76499999998
2005-09-13,110470.155
2005-09-14,111549.36499999999
2005-09-15,111673.17000000001
2005-09-16,110471.375
2005-09-17,101712.745
2005-09-18,95337.33
2005-09-19,109413.38
2005-09-20,111338.885
2005-09-21,109753.48500000002
2005-09-22,108529.78
2005-09-23,110409.76000000001
2005-09-24,103302.45
2005-09-25,96668.235
2005-09-26,112331.395
2005-09-27,114784.43
2005-09-28,113768.255
2005-09-29,112352.93000000001
2005-09-30,112089.86
2005-10-01,101978.585
2005-10-02,94695.42
2005-10-03,109731.19
2005-10-04,110540.06
2005-10-05,109109.11499999999
2005-10-06,110628.855
2005-10-07,112283.85
2005-10-08,102351.08499999999
2005-10-09,96426.54
2005-10-10,112110.29
2005-10-11,114690.41500000001
2005-10-12,114595.27
2005-10-13,111785.51999999999
2005-10-14,110641.04000000001
2005-10-15,101768.11500000002
2005-10-16,94673.95499999999
2005-10-17,106032.51999999999
2005-10-18,108872.54000000001
2005-10-19,108776.685
2005-10-20,106680.72
2005-10-21,109190.235
2005-10-22,101490.89000000001
2005-10-23,94702.07
2005-10-24,110275.44499999999
2005-10-25,109824.375
2005-10-26,107654.89
2005-10-27,107786.945
2005-10-28,108168.265
2005-10-29,101218.025
2005-10-30,96590.715
2005-10-31,108564.86
2005-11-01,96873.98
2005-11-02,108856.665
2005-11-03,94371.39
2005-11-04,105560.17
2005-11-05,98604.94
2005-11-06,93055.64
2005-11-07,109146.03
2005-11-08,112889.925
2005-11-09,112689.57
2005-11-10,110693.695
2005-11-11,110033.45000000001
2005-11-12,102341.905
2005-11-13,97350.06
2005-11-14,112446.375
2005-11-15,112384.245
2005-11-16,113191.68
2005-11-17,110989.41500000001
2005-11-18,111043.68000000001
2005-11-19,100988.505
2005-11-20,94331.95499999999
2005-11-21,105758.61499999999
2005-11-22,104875.135
2005-11-23,105542.56999999999
2005-11-24,108234.715
2005-11-25,107647.64499999999
2005-11-26,99124.13
2005-11-27,92833.39
2005-11-28,107830.56
2005-11-29,109786.82999999999
2005-11-30,107730.615
2005-12-01,108390.65
2005-12-02,108679.11
2005-12-03,98782.565
